"Title","Type","Description"
"Chiny w kolorze blue","Dokument","Dokument przedstawiający współczesne Chiny na przykładzie opowieści o życiu i pracy chińskich dziewcząt w fabryce dżinsów. Dziewczyny mieszkają w hotelu robotniczym, pracują całymi dniami, kilkanaście godzin na dobę przez siedem dni w tygodniu. Nie ma tu żadnych zasad, kodeksu pracy, zarabiają tyle, że nie wystarcza nawet na podróż do rodzinnego domu. Pomimo to kobiety mają swoje marzenia, plany na przyszłość..."
"Miasto cienia","Fantasy","Kolejne pokolenia mieszkańców miasta Ember żyły dostatnio i szczęśliwie w opromienionym milionem świateł podziemnym świecie. Jednak kiedy potężny generator - pulsujące serce miasta - zaczyna szwankować, imponujące lampy oświetlające metropolię zaczynają przygasać. Dwoje nastolatków Lina i Doon (Saoirse Ronan i Harry Treadaway) zaczynają wyścig z czasem, próbując wymyślić sposób ucieczki mieszkańców z konającego miasta. Aby zrealizować ten plan, muszą rozszyfrować prastare sekrety. Gorąco popiera ich burmistrz metropolii (Bill Murray), charyzmatyczny showman, który jak każdy rasowy polityk w trudnej sytuacji, stara się zadowolić masy."
"Lost River","Fantasy","Detroit. Przeklęte miejsce, w którym jedni próbują przetrwać, inni oddają się perwersyjnym fantazjom. Okolicą rządzi Bully, który obcina wargi nożyczkami każdemu, kto mu się sprzeciwi. W domu na przedmieściach katatoniczna staruszka Belladonna zawiesza się w świecie swoich wspomnień. W centrum miasta wyuzdany bankier Dave aranżuje krwawe przedstawienia w nocnym klubie, do którego ściągają tłumy. Zmysłowa Billy spełnia jego psychopatyczne zachcianki, by nie stracić dachu nad głową. Jej starszy syn – Bones pomaga matce, zbierając złom, czym naraża się Bully’emu. Rozumie go tylko Rat – dziewczyna z sąsiedztwa ze szczurem w rękawie. Razem snują się po okolicy. Tylko ona wie, jak to wszystko się zaczęło i jak to wszystko zakończyć."
"Załoga G","Fantasy","Świnki morskie atakują. Genetycznie zmutowane, specjalnie wyszkolone aby chronić ludzkość. Mają misję, którą muszą wykonać. 3 świnki i kret nie zastanawiają się nad konsekwencjami tylko wkraczają do akcji. Jak by tego było mało rząd nie jest zadowolony z istnienia tej tajnej grupy operacyjnej, a multimilioner chce zawładnąć światem. Czy uda im się ocalić ludzkość przed zagładą?"
"Przystań","Fantasy","Serial oparty na twórczości Stephena Kinga (""The Colorado Kid""). Akcja koncentruje się w miasteczku w Maine, gdzie przeklęci próbują wieść normalne życie na wygnaniu. Gdy ich przekleństwa zaczynają powracać, agentka FBI Audrey Parker zostaje wysłana, by spróbować kontrolować mroczne siły i odkryć więcej tajemnic miasteczka..."
"Kruk","Fantasy","Brutalnie zamordowana gwiazda rocka, Eric Draven, po roku powraca do życia, by pod okiem tajemniczego kruka dokonać zemsty na swoich prześladowcach. Obdarzony umiejętnościami paranormalnymi i nadludzką siłą, Eric kolejno likwiduje członków gangu, nieświadomych czekającego ich losu."
"Indiana Jones i Królestwo Kryształowej Czaszki","Fantasy","Najnowsza seria przygód z jego udziałem rozpoczyna się na pustynnym południowym-wschodzie w 1957 roku – w samym apogeum Zimnej Wojny. Indiana i jego towarzysz Mac (Ray Winstone) właśnie wymknęli się z rąk sowieckich agentów i wracają do domu. Wkrótce potem Indiana Jones dowiaduje się od dziekana swojej macierzystej uczelni – Marshall College – i bliskiego przyjaciela (Jim Broadbent), że jego ostatnie wyczyny nie spodobały się przedstawicielom rządu, którzy naciskają na władze uniwersytetu, aby te usunęły profesora Jonesa z uczelni. Wyjeżdżając z miasta, Indiana spotyka zbuntowanego młodego człowieka Mutta (Shia LaBeouf), który mimo tego, że żywi do profesora sporą urazę, ma też propozycję, która może spodobać się żądnemu przygód archeologowi: jeśli pomoże on Muttowi w pewnej osobistej sprawie, chłopak naprowadzi go na ślad Kryształowej Czaszki z Aktor, legendarnego przedmiotu fascynacji, przesądów i lęków."
"Mirai","Fantasy","Pojawienie się młodszego rodzeństwa wywraca do góry nogami życie Kuna, który nie kryje swojej zazdrości i wściekłości. Niespodziewanie odkrywa, że ogród obok domu umożliwia podróże w czasie i spotkania z krewnymi z przeszłości lub przyszłości. Pozwala to chłopcu na niezwykłą przygodę, w czasie której Kun lepiej poznaje dzieje własnej rodziny. Obserwuje dziadka, którego pasją były motocykle, mamę, która – zupełnie tak jak on – wcale nie sprzątała po sobie zabawek oraz swoją nastoletnią siostrę. Dzięki temu powoli uczy się empatii, równowagi oraz wrażliwości na innych."
"Spleceni","Fantasy","Panos był lekarzem w mieście. Właśnie przeniósł się do odległej wioski, w której oferuje swoje usługi starzejącej się społeczności. Kiedy w lesie spotyka piękną Danae, pomimo swojego twardego racjonalizmu, zakochuje się w niej od pierwszego wejrzenia. Dziewczyna ma niezwykłą przypadłość — tajemnicze zmiany na skórze, które do złudzenia przypominają korę drzewa. Danae żyje w lesie, dokąd została wygnana przez przesądnych mieszkańców wsi. Jest tam uwięziona. Panos zrobi wszystko, by ją uratować. Nawet jeśli będzie to oznaczać zburzenie jego uporządkowanego i logicznego postrzegania świata."
"Szkoła czarownic","Fantasy","Siedemnastoletnia Sarah przenosi się do nowej szkoły w Los Angeles. Jej uwagę zwracają trzy rówieśnice, nazywane czarownicami z Eastwick. Trapione przez różne kompleksy, dziewczęta rzeczywiście szukają drogi do czarnej magii, chętnie też witają w swoim gronie Sarah, która - jak się okaże - jest czarownicą naturalną. Dzięki niej udaje się zamknąć magiczny krąg. Każda z nich otrzymuje dar, o jaki prosiła - miłość, urodę, nienawiść, siłę. Czy jednak czarownice z Los Angeles potrafią właściwie wykorzystać swe zdolności? Już niebawem przyjdzie im stoczyć krwawą bitwę - między sobą."
"Kurt Cobain: About a Son","Dokument","""Kurt Cobain About a Son"" to film rock'n'rollowy jak żaden inny. Nie można tu znaleźć blichtru celebrities, prób odtworzenia grunge'owej estetyki, mimo to, reżyser maksymalnie zbliżył się do poetyki autobiografii Kurta Cobaina. Dokument opiera się na nagraniach rozmów Cobaina i pisarza Michaela Azerrada, które odbyły się między 1992 o 1993 rokiem, na rok przed śmiercią Cobaina i które Azerrad przeprowadził do swojej książki Come as You Are: The Story of Nirvana."
"Jak motyl","Dokument","23-letni Przemek od urodzenia jest sparaliżowany. Nie może również mówić. Został uznany za niedorozwiniętego umysłowo i w wieku 16 lat nadal nie udało mu się skomunikować z osobami, które go otaczały. Jego zdrowy umysł jest ukrytą ofiarą werdyktów lekarskich i sparaliżowanego ciała. Pomimo tego, że traktowany jest jak „warzywo”, złożony chorobą od lat Przemek jest przekonany, że zdarzy się cud. Pewnego dnia opiekunka domowa zdaje sobie sprawę, że Przemek próbuje jej coś powiedzieć."
"Zaginiony grobowiec Jezusa","Dokument","Kontrowersyjny film dokumentalny Jamesa Camerona i Simcha Jacobovici. Przedstawia odkrycie kamiennych ossuariów (skrzyń na kości) sprzed dwóch tysięcy lat, w których podobno złożono szczątki Jezusa i jego rodziny - na skrzyniach widnieją inskrypcje imion: Jezus syn Józefa, Maria, Maria Magdalena, Mateusz, Józef oraz Judasz syn Jezusa."
"Metallica: Cliff 'Em All!","Dokument","Jest to pierwsze video, które zostało nagrane przez Metallicę. Dokument ten jest swoistym hołdem kapeli dla tragicznie zmarłego basisty Cliffa Burtona. Zawiera on zlepek różnych nagrań z tras koncertowych oraz wywiadów, a przede wszystkim możemy tu zobaczyć dużo fragmentów dotyczących historii i życia Burtona."
"The Last Party","Dokument","Film dokumentalny, którego scenarzystą i jednocześnie głównym bohaterem jest popularny aktor Robert Downey Junior. Prowadzi on reportaże oraz wywiady z różnymi osobami z branży. Całość dotyczy polityki prowadzonej w Stanach Zjednoczonych."
"Iberia","Dokument","Dokument ""Iberia"" to muzyczna podróż przez Iberia Suite, autorstwa hiszpańskiego kompozytora Isaaca Albéniza. Składają się na nią występy największych obecnie hiszpańskich muzyków i tancerzy oraz ich interpretacje tego dzieła."
"On a Tightrope","Dokument","Sztuka chodzenia po linie to stara ujgurska tradycja. Dzieci wierzą w swojego trenera, ale jego intencje nie są jasne. Po dziewięciu miesiącach intensywnych i niebezpiecznych ćwiczeń, większość dzieci dowiaduje się, że się im nie powiodło i nie nadają się do dalszego treningu. Petr Lom portretuje czterech wychowanków sierocińca, śledząc ich walkę o zbudowanie sobie na przyszłość lepszego życia. W końcu pojawia się starszy, emerytowany mistrz chodzenia po linie i zostaje ich nowym trenerem. Z miłością i cierpliwością uczy dzieci swojej trudnej sztuki."
"89 mm od Europy","Dokument","Tytułowe 89 milimetrów, to różnica między szerokością torów w Europie i byłym ZSRR. 89 milimetrów, które wyznaczają granicę dwóch światów. Ten krótki dokument pokazuje, jak robotnicy wymieniają koła pod jedym z dziesiątków pociągów, które przejeżdżają z Europy do byłego ZSRR."
"Get Thrashed","Dokument","Dokument, który pokazuje scenę thrashmetalową z początku lat 80-tych oraz jej wpływ na zespoły i scenę muzyczną. W filmie zobaczyć można takie zespoły jak: Metallica, Slayer, Anthrax, Testament, Overkill, Voivod i Meshuggah. Dokument zawiera wywiady, fragmenty koncertów oraz nagrania archiwalne."
"The Original Kings of Comedy","Dokument","""The Original Kings of Comedy"" jest zapisem występu czterech najlepszych, czarnoskórych komików scenicznych. Steve Harvey, Bernie Mac, Cedric the Entertainer i D.L. Hughley, bo o nich mowa, przez dwie godziny zabawiają publiczność dowcipami na każdy temat. W swoich żartach nie oszczędzają niczego i nikogo, począwszy od religii, na ich czarnych braciach kończąc. Potrafią celnie wytknąć wszystkie absurdy i paradoksy życia."
"Igor","Fantasy","Igor, asystent w laboratorium, marzy o wielkiej karierze naukowca. Jego celem jest zdobycie pierwszej nagrody w konkursie czarnej magii. Wspólnie z odjechanymi kolegami z pracy, przechodzonym królikiem oraz gadającym mózgiem w słoiku nie ustają w pracy naukowej eksperymentów, które zbliżą ich do ciemnej strony mocy. Igor jednak przekonuje się szybko, że nie wszystkie efekty jego diabelskich zbiegów naukowych są... złe."
"Jessica Forever","Fantasy","W dystopijnym świecie, w którym królują brutalni odmieńcy, kobieta i jej prowizoryczna rodzina zrehabilitowanych maruderów walczą o pokój."
"Szalona wyprawa Billa i Teda","Fantasy","Bill i Ted, zostają zamordowani przez sklonowane roboty wysłane z przyszłości prz De Nomolosa. Trafiają do piekła, gdzie toczą bój z Diabłem. Dzieki wygranej, zostają wysłani do nieba."
"Krampus. Duch Świąt","Fantasy","Krampus, tytułowy Duch Świąt, zstępuje na Ziemię, po tym jak Max traci wiarę w Święta."
"Wilczek","Fantasy","Co może zrobić nastolatek, by stać się popularnym? Po prostu zapuścić włosy i wyć! W roli głównej występuje Michael J. Fox. Wilczek jest zabawną komedią o nieśmiałym nastolatku, w którym zmienia się nieco więcej niż tylko głos... staje się młodym wilkołakiem! Kiedy odkrywa, że nowa moc pozwala mu zdobywać punkty w koszykówce i... najbardziej popularne dziewczyny w szkole, podejmuje pewne nieco kosmate decyzje."
"Atak Tytanów","Fantasy","Grupa ocalałych ludzi walczy z gigantycznymi, humanoidalnymi potworami."
"ParaNorman","Fantasy","Akcja filmu - animowanej komedii z elementami horroru - toczy się w miasteczku, nad którym od dawna wisi klątwa. Tylko jeden chłopiec o imieniu Norman może pomóc, gdyż potrafi rozmawiać z zombiakami, jednak nikt nie chce go słuchać..."
"Być człowiekiem","Fantasy","Aiden (Sam Witwer) jest wampirem, który pracuje w szpitalu wraz ze swoim kolegą Joshem wilkołakiem (Sam Huntington). Postanawiają wynająć razem mieszkanie, dzięki któremu będę mogli swobodnie razem przebywać nie budząc podejrzeń. Dziwnym trafem wprowadzają się do budynku, gdzie żyje duch zmarłej dziewczyny Sally. Tak oto cała trójka próbuje razem mieszkać i prowadzić normalne życie jak reszta zwykłych ludzi."
"Metal","Dokument","Film przedstawia historię heavy metalu od jego początków po dzień dzisiejszy. Został zrealizowany przez Sama Dunna, 30-letniego antropologa i długoletniego fana muzyki heavy metalowej. Podczas realizacji filmu Sam odwiedził wiele istotnych miejsc dla muzyki metalowej - miasta, festiwale, koncerty. Odbył szereg spotkań z najważniejszymi postaciami muzyki. W filmie analizuje najważniejsze jej elementy: seksualność, stosunek do religii, zagadnienie przemocy, a nawet elementy śmierci. Przedstawia wszystkie odmiany muzyki metalowej odkrywając tajemnice, o których nawet on wcześniej nie wiedział."
"Fotoamator","Dokument","Wspomnienia Arnolda Mostowicza, świadka zagłady łódzkiego getta, zobrazowane setkami kolorowych slajdów z czasów II wojny światowej. Slajdy zawdzięczamy zapalonemu fotoamatorowi, Walterowi Genewein, który był wówczas głównym księgowym w Zarządzie Getta."
"Propaganda PRL-u: Warszawa, miasto które przeżyło własną śmierć","Dokument","Z największą przyjemnością prezentujemy unikatowy materiał o starej Warszawie. Większość dokumentów pochodzi z czasów wojennych, zobaczymy m.in. takie rarytasy jak materiały operacyjne BIP AK(zdjęcia kręcone przez powstańców, również z pierwszej linii działań wojennych w czasie Powstania). Film ten ma na celu pokazanie ogromu zniszczeń wojennych na jakie została skazana stolica Polski. Zaprezentujemy ponadto rzadkie zdjęcia Warszawy sprzed wojny oraz pierwsze lata odbudowy stolicy. Lata okupacji były dla Warszawy najtragiczniejszymi w całej historii miasta. Warszawa była jednym z niewielu miast w Europie tak dotkliwie ukaranym przez Hitlera za swoją bohaterskość. Całkowicie zburzona była prawie połowa domów, a 75% budynków w samym centrum, wymordowano kilkaset tysięcy mieszkańców . Z rozkazu Hitlera, Warszawa miała być zrównana z ziemią i miała nigdy się nie odrodzić. Powojenne czasy entuzjazmu z odzyskania niepodległości dźwignęły na nowo stolicę Polski. Ówcześni komentatorzy zagraniczni byli wstrząśnięci widokiem zgliszcz i nie wierzyli, że Warszawę uda się odbudować. Warszawa roku 1945 była jedną wielką mogiłą ludzką i architektoniczną. Była miastem wymarłym i zburzonym. Czujemy się niejako zobligowani do pokazania jak duży wysiłek ludzki i materialny został włożony w odbudowę Warszawy."
"Propaganda PRL-u. Najzabawniejsze Polskie Kroniki Filmowe","Dokument","Propaganda PRL-u: najzabawniejsze Polskie Kroniki Filmowe to zbiór wybitnych dzieł polskiego dokumentu lat 40/50, 50., 50/60, 60.. na 4 płytach DVD. Całość z dzisiejszego punktu widzenia jest zabawnym wspomnieniem minionej epoki. Kompilacja ta pokazuje absurdalną rzeczywistość wczesnych lat PRL-u. Nieprzypadkowe jest skojarzenie z ’’Misiem’’ Stanisława Barei - tyle tylko, że ’’Miś’’ to fabuła a Propaganda PRL- u: najzabawniejsze Polskie Kroniki Filmowe to czysty autentyk, absurd, zdziwienie i komizm w najwyższym stopniu. Dokument ten zawiera same ’’rarytasy’’ zobaczymy m.in. niezapomnianą kronikę z trudnej walki z imperialistycznym najeźdźcą w postaci stonki ziemniaczanej, zepsutą i pozbawioną dobrego smaku z plugawym dowcipem młodzież ’’bikiniarzy’’ i inne znane, oraz te, które ujrzą światło dzienne po ponad pół wieku niebytu."
"Jak żyć","Dokument","Na kempingu rozpoczyna się obóz szkoleniowy dla młodych małżeństw. Zajęcia odbywają się pod hasłem ""Wzorowa rodzina"". Ukazane są konflikty między kierownictwem, które chce narzucić określone zasady, a uczestnikami, którzy pobyt tutaj traktują jak wczasy."
"Lekcja białoruskiego","Dokument","Białoruś uzyskała niepodległość w 1991 roku. W tym samym czasie powstało w Mińsku liceum, które miało wychowywać przyszłą elitę białoruskiej inteligencji. Kiedy do władzy doszedł Łukaszenko, liceum zostało zdelegalizowane. Punktem kulminacyjnym filmu są sfałszowane wybory prezydenckie i następujące po nich protesty uliczne. Licealiści razem z innymi demonstrantami zbudowali na głównym placu Mińska namiotowe miasteczko, brutalnie spacyfikowane przez milicję. Uczniowie jednak nie poddają się, w podziemiu uczą się kolejne roczniki młodych, wierzących, że kiedyś Białoruś będzie wolna."
"Propaganda PRL-u: Humor w PRL-u","Dokument","Mamy wielki zaszczyt przedstawić niepowtarzalną płytę składającą się z najlepszych skeczy nakręconych przez operatorów Polskiej Kroniki Filmowej. Takiej dawki humoru - niepowtarzalnego i naznaczonego duchem minionej epoki - na jednej płycie dvd jeszcze nie było. Pokażemy historię kabaretów w Polsce Ludowej. Prześledzimy humor i jego ewolucję, która dokonała się pod wpływem doznań, jakie na przestrzeni dekad zaprezentowała obywatelom władza socjalistyczna. Prezentujemy polski dorobek kabaretowy od lat 50-tych do lat 80-tych. Wśród kabaretów zobaczymy m.in. Szpak, Koń, Wagabunda, Tey, Pineska, Dudek, To tu, Pod Egidą. A na deser: fragment mało znanego filmu dokumentalnego pt. ""Trochę słońca"" w reżyserii mistrza polskiego absurdu Stanisława Barei, w roli głównej zobaczymy Bogumiła Kobielę."
"The Devil Came on Horseback","Dokument","Dokument poświęcony sytuacji w Darfurze, widzianej oczyma byłego amerykańskiego żołnierza marines kapitania Briana Steidle'a. Arabski rząd chce pozbyć się rdzennej afrykańskiej ludności, przyzwalając na ludobójstwo. Steidle, jako żołnierz, a następnie dziennikarz, wraca do USA aby pokazać i uzmysłowić międzynarodowej opinii publicznej ogrom tragedii, jaka ma miejsce w Sudanie. Sam próbuje też podjąć nierówną walkę..."
"Joe Strummer: Niepisana przyszłość","Dokument","Jako główna postać w zespole Clash, Joe Strummer, zmienił życie wielu ludzi. Wpływy jego twórczości dostrzec można na całym świecie. Brytyjski reżyser, Julien Temple, przedstawia go nie tylko jako muzyka, ale jako jedną z najbardziej wpływowych osób naszych czasów."
"Bunt. Sprawa Litwinienki","Dokument","Kontrowersyjny dokument o byłym agencie FSB, Aleksandrze Litwinience, zmarłym w Londynie po otrzymaniu śmiertelnej dawki radioaktywnego polonu. Antyputinowski film, nad którym prace rozpoczęły się jeszcze przed śmiercią Litwinienki, obnaża politykę Kremla i metody działania FSB (dawnego KGB). Litwinienko krótko przed śmiercią oświadczył, że padł ofiarą zemsty prezydenta Putina, którego politykę ostro krytykował."
"Xena: Wojownicza księżniczka","Fantasy","Xena (Lucy Lawless), była kiedyś mściwą wojowniczką dla tych, którzy wyrządzili jej krzywdę. Po spotkaniu herosa Herculesa zaczyna żałować za swoje czyny i postanawia zmienić swoje dotychczasowe postępowanie. Staje się bojownikiem w imieniu dobra i sprawiedliwości. Wraz ze swoją przyjaciółką Gabrielle (Renee OConnor) podróżuje po świecie, by walczyć ze złem i by bronić słabszych. Akcja serialu rozgrywa się w mitologicznej Grecji."
"Trollowy Most","Fantasy","Największy z bohaterów Świata Dysku postanawia zmierzyć się z trollem."
"Krudowie","Fantasy","W poszukiwaniu nowego domu staromodny jaskiniowiec musi przeprowadzić rodzinę przez prehistoryczne ziemie. Olbrzymich rozmiarów flora i fauna są sporym wyzwaniem, jednak prawdziwe komplikacje pojawią się w chwili, kiedy do rodziny dołączy jaskiniowiec zatrważająco nowoczesny. Jego poszukiwanie ""lepszego jutra"" zupełnie nie pasuje do poglądów naszego hołdującego tradycji bohatera."
"Hobbit: Pustkowie Smauga","Fantasy","Grupa krasnoludów podąża do leża smoka by odzyskać utracone królestwo."
"Żona rzeźnika","Fantasy","Pewien rzeźnik z Greenwich Village przywozi z Północnej Karoliny - z wypadu na ryby - niezwykłe trofeum: piękną żonę z darem jasnowidzenia o imieniu Marina. Duma młodego małżonka zamienia się w zdumienie, gdy docierają do niego plotki o tajemniczej mocy Mariny, która przemienia zazwyczaj twardo stąpających po ziemi mieszkańców dzielnicy w gruchające o miłości gołąbki."
"Jem i Hologramy","Fantasy","Pochodząca z małego miasteczka Jerrica (Aubrey Peeples, serial tv „Nashville”) prowadzi zwyczajne życie - do chwili, kiedy nie przyjmie nowej osobowości, podpowiedzianej przez swoją muzykę. W jednej chwili staje się Jem – silną, oszałamiającą i całkowicie nieustraszoną światową gwiazdą! A kiedy będzie się wydawać, że dziewczyna straci kontakt z tym , co się liczy naprawdę, Jerrica i złożony z jej trzech sióstr zespół rozpoczyna wyjątkową podróż – bo niektóre talenty są zbyt wielkie, by ukrywać je przed światem."
"Tajemny krąg","Fantasy","Cassie Blake była zwyczajną, szczęśliwą nastolatką, dopóki jej matka Amelia nie zginęła w wyglądającym na wypadek pożarze. Osieroconą dziewczynę przygarnęła jej babcia, Jane, miła i kochająca kobieta, mieszkająca w pięknym miasteczku Chance Harbor w stanie Waszyngton. Matka Cassie wyjechała stąd wiele lat temu, ale teraz wszyscy wydają się wiedzieć o Cassie więcej niż ona sama. Kiedy dziewczyna poznaje swoich kolegów i koleżanki z klasy zaczynają dziać się dziwne i przerażające rzeczy. Nowi przyjaciele (urocza Diana i jej przystojny chłopak, Adam, tajemniczy samotnik Nick, wredna Faye i jej kumpelka Melissa) wyjaśniają jej, że wszyscy są potomkami potężnych czarownic i że czekali na Cassie, by nowy Sekretny Krąg był pełen. Cassie początkowo nie chce im uwierzyć, ale Adam pokazuje jej jak uwolnić jej niesamowite moce. Jednak dopiero kiedy Cassie znajduje w starej księdze zaklęć swojej matki list od niej, zaczyna rozumieć swoje prawdziwe przeznaczenie. Jednak ani Cassie, ani pozostali nie wiedzą, że w miasteczku działają o wiele mroczniejsze siły, które mogą być powiązane z dorosłymi, także ojcem Diany i matką Faye - a także że śmierć matki Cassie wcale nie była wypadkiem."
"Kłamca, kłamca","Fantasy","Fletcher jest przebojowym adwokatem, człowiekiem ubóstwiającym drogie samochody, eleganckie garnitury i pieniądze. Problem jedynie w tym, że wszystko, co osiągnął w życiu, zawdzięcza kłamstwu. Umiejętność kłamania pomaga mu w zawodowej karierze, ale przeszkadza jego małemu synkowi. W dniu swych urodzin chłopiec ma tylko jedno życzenie: żeby tatuś przez 24 godziny mówił tylko prawdę. Fletcher wbrew swej woli wywiązuje się z zadania, ale wywołuje to lawinę tragikomicznych zdarzeń."
"Kronika świąteczna","Fantasy","Film opowiada historię siostry i brata, Kate (Darby Camp) i Teddy’ego (Judah Lewis) Pierce’ów, których plan zarejestrowania Świętego Mikołaja (Kurt Russell) na filmie prowadzi do nieoczekiwanej podróży, o której większość dzieci mogłaby tylko pomarzyć. Po wypatrzeniu Mikołaja dzieci zakradają się do jego sań i powodują wypadek, który zagraża podtrzymaniu świątecznej tradycji. Tej szalonej nocy Kate i Teddy pracują razem z Mikołajem — jakiego jeszcze nie znaliście — i jego lojalnymi elfami, by uratować Boże Narodzenie, zanim będzie za późno."
"Próba generalna","Dokument","W sztucznej irackiej wiosce, zbudowanej przez amerykańską armię na pustyni Mojave, żołnierze szkolący się przed wyjazdem do Iraku rozgrywają gry wojenne."
"Porno od 9 do 17","Dokument","Porno od 9 do 17 skupia się na ludziach, którzy stoją za kontrowersyjnym, ale wartym wiele miliardów dolarów przemysłem filmów pornograficznych. Film przedstawia ich historie, każda różni się od pozostałych, są szczere i nieupiększone. Dokument zapewnia wgląd w ich życie osobiste - od ekskluzywnego do groteskowego - pokazane są chwile dziwne, fascynujące, obraźliwe, absurdalne, a czasem zabawne."
"Hubert Selby Jr: It/ll Be Better Tomorrow","Dokument","""Hubert Selby Jr: It/ll Be Better Tomorrow"" to próba zbadania życia i twórczości renomowanego autora takich produkcji jak: ""Piekielny Brooklyn"" czy bestsellerowy ""Requiem dla snu"" - Huberta Selby'ego Juniora."
"Michael Jordan: His Airness","Dokument","""Wszyscy ludzie rodzili się równi, dopóki nie pojawił się Michael Jordan."" (Rick Barry) Historia życia najwybitniejszego koszykarza wszech czasów. Przedstawia wydarzenia z dzieciństwa, okresu szkolnego, studiów, a także kariery w NBA. Materiał obejmuje czas do pierwszej rezygnacji Jordana z gry spowodowanej śmiercią ojca."
"Miasto słońca","Dokument","Cité Soleil - dzielnica slumsów miasta Port-au-Prince na Haiti. Na niespełna 2 km kw. mieszka blisko ćwierć miliona ludzi. Siły bezpieczeństwa nie mają tu wstępu. W Cité Soleil, najbardziej niebezpiecznym miejscu na ziemi, rządzą zbrojne bandy. Filmowcom udało się dotrzeć do serca getta i opowiedzieć o dwóch braciach, przywódcach gangów - tajnej armii prezydenta Jeana-Bertranda Aristide'a. Jeden chce walczyć po stronie prezydenta, drugi chce wolności."
"The Thin Blue Line","Dokument","Film dokumentalny przedstawiający historię Randalla Dale Adamsa, niesłusznie oskarżonego i skazanego na karę śmierci za morderstwo, którego nie popełnił. Przez osiem lat mężczyzna przebywał w celi śmierci, zanim udowodniono jego niewinność, co stawia w niekorzystnym świetle sądownictwo Dallas County w stanie Teksas. Film odkrywa również korupcję wymiaru sprawiedliwości."
"Kronika Hellstroma","Dokument","Film ukazujący życie owadów. Dr Hellstrom (Lawrence Pressman) opowiada w zadziwiająco ciekawy sposób o tym, jak brutalność i okrucieństwo wobec owadów, może w niedługim czasie doprowadzić do ich całkowitego wyginięcia."
"ATP - Muzyka jutra","Dokument","All Tomorrow’s Parties to ogromny festiwal muzyczny, który odbywa się w Anglii (w East Sussex i Minehead) od 1999 roku. Impreza przyciąga rozmaitych twórców, których muzyka sytuuje się poza głównym nurtem – to zarówno muzycy tworzący post-rock, indie, underground hip-hop, jak i wiele innych. ATP przyciąga dziesiątki tysięcy fanów, którzy zamieszkują te same lokalizacje, co goszczący na festiwalu artyści. Od 2002 Festiwal organizuje osobne wydarzenia także w USA. Wśród jego kuratorów odnajdziemy również twórców spoza branży muzycznej m.in. Jima Jarmusha czy Matta Groeninga (autora Simpsonów). Ponad osiemdziesięciominutowy film Jonathana Caouette (firmowany również nazwiskami ekipy festiwalowej) opiera się na materiałach kręconych od pierwszej edycji festiwalu. Z ponad dwustu godzin filmów dostarczonych przez fanów imprezy, reżyser wraz z montażystą (Nick Fenton) zmontowali fascynujący dokument, który oddaje niezwykłą atmosferę koncertów, półprywatnych rozmów z uczestnikami i artystami oraz wydarzeń towarzyszących ATP Festival. Już od pierwszych ujęć film porywa rytmem dźwięków i obrazów, a całość zadziwia narracyjną płynnością i spójnością. W pulsujących kadrach dokumentu stajemy się uczestnikami wielkiego muzycznego święta."
"Męski erotyk","Dokument","Filmowa podróż w krainę męskiej erotyki - rodzaj sensualnego, prowokacyjnego, a w wielu miejscach autobiograficznego i bardzo melancholijnego eseju, u którego źródeł tkwi chęć zrozumienia natury i sensu męskiej seksualności. Odwiedzając z kamerą rozmaite zakątki świata, w tym: Haiti, Filipiny, Senegal, Brazylię, Argentynę i Panamę, Jørgen Leth (twórca tak kultowych obrazów, jak Pięć nieczystych zagrań czy ""Człowiek idealny"") filmuje tylko jedną, powtarzającą się scenę: nagą kobietę, za każdym razem inną, opłakującą w hotelowym pokoju stratę kochanka, gdy ten zdecydował się na powrót do Europy."
"Zwykła procedura operacyjna","Dokument","Kontrowersyjny film dokumentalny Errola Morrisa, który po ujawnionej aferze bada przypadki nadużyć i torturowania podejrzanych o terroryzm, którzy są w rękach amerykańskich wojsk w więzieniu Abu Ghraib."
"Sekrety morza","Fantasy","Dziewczynka o imieniu Sirsza obchodzi swoje 6 urodziny. Nic nie wygląda tak, jakby chciała. Starszy brat jej dokucza, tata jest zatopiony w myślach, a mamy nie ma z nimi od dawna. Na domiar wszystkiego przyjeżdża zrzędząca babcia, która zamierza zabrać rodzeństwo do dużego miasta, które uważa za bardziej odpowiednie miejsce dla nich do życia. Po nieudanym przyjęciu Sirsza podkrada bratu muszlę, którą dostał kiedyś od mamy, i zaczyna na niej grać. Muzyka prowadzi ją do skrzyni, w której znajduje niezwykły płaszcz. Sirsza rozpocznie podróż, dzięki której zrozumie kim jest i co stało się z ich mamą. W wędrówce pomaga jej starszy brat, tajemnicze świetliki oraz pół ludzie pół foki. Wspólna podróż pomoże odkryć rodzeństwu łączącą ich więź i siłę, która tkwi rodzinie."
"Hotel Transylwania 2","Fantasy","Jonathan ze swoją żoną wyjeżdżają z hotelu. Tymczasem opiekę nad małym Dennisem przejmuje Dracula, który chce swojego wnuka nauczyć wampirzej natury."
